Идентификатор;Подпись;Тип сущности;Иконка i2;Описание
walt;Уолтер Уайт «Хайзенберг»;Персонаж;Male;Учитель химии, организатор наркопроизводства
jesse;Джесси Пинкман;Персонаж;Male;Сообщник, «повар» метамфетамина
skyler;Скайлер Уайт;Персонаж;Female;Жена Уолта, отмывание денег
saul;Сол Гудман;Персонаж;Male;Адвокат, юридическое прикрытие
gus;Густаво Фринг;Персонаж;Male;Дистрибьютор, владелец Los Pollos Hermanos
mike;Майк Эрмантраут;Персонаж;Male;Охрана и «решала» Гуса
lydia;Лидия Родарт-Кантильо;Персонаж;Female;Поставщик метиламина (Madrigal)
jack;Банда Джека;Организация;Group;Наёмники-неонацисты
hector;Гектор Саламанка;Персонаж;Male;Картель, враг Гуса
hank;Хэнк Шрейдер;Детектив;Law Enforcement;Агент DEA, зять Уолта
gale;Гейл Боттикер;Жертва;Male;Химик-ассистент, убит
brock;Брок Кантильо;Жертва;Male;Ребёнок, отравлен
e_cook;Производство «голубого мета»;Событие;Incident;Подпольное производство метамфетамина
e_gale;Убийство Гейла;Событие;Incident;Устранение свидетеля-химика
e_brock;Отравление Брока;Событие;Incident;Отравление рицином (манипуляция)
e_blast;Взрыв — гибель Гуса;Событие;Explosion;Бомба в доме престарелых
e_hank;Гибель Хэнка;Событие;Incident;Перестрелка с бандой Джека
ev_meth;Голубой метамфетамин;Доказательство;Drugs;Фирменная улика, выводит DEA на след
ev_book;Книга «Leaves of Grass» («G.B.»);Доказательство;Document;Ключевая улика: разоблачение Хайзенберга
ev_ricin;Рицин (капсула-яд);Доказательство;Poison;Орудие отравления Брока
ev_lab;Суперлаборатория / фургон RV;Доказательство;Office Building;Место преступления
ev_methyl;Метиламин (сырьё);Доказательство;Chemical;Сырьё для синтеза
ev_money;Деньги / автомойка A1;Доказательство;Money;Легализация доходов
